stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,71.32156369999575,71.93875309999567,71.93875309999567,71.93875309999567,72.24315379999462,left,-10.0,1,1,0.642437799993786,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
1,2,8.0,72.62453469999309,73.11052950000158,73.11052950000158,73.11052950000158,73.40982649999205,right,8.0,1,1,0.5535916000080761,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
2,2,6.0,73.70563389999734,74.19359899999108,74.19359899999108,74.19359899999108,74.49482290000014,left,-6.0,1,1,0.4947934000083478,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
3,2,4.0,74.72181399998954,75.20931989999372,75.20931989999372,75.20931989999372,75.51167880000139,left,-4.0,1,1,0.5796636000013677,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
4,2,2.0,75.82226780000201,76.30953069998941,76.30953069998941,76.30953069998941,76.60999430000084,left,-2.0,1,1,0.6193004000087967,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
5,2,1.0,76.9712756999943,77.46194500000274,77.46194500000274,77.46194500000274,77.77649180000299,left,-1.0,1,1,0.7333457000058843,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
6,2,1.0,78.23704909998924,78.72517849999713,78.72517849999713,78.72517849999713,79.02470179999364,right,1.0,1,1,0.6936244999960763,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
7,1,1.0,79.45426739999675,79.94155799999135,79.94155799999135,79.94155799999135,80.24131909999414,right,1.0,0,0,0.7375878000020748,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
8,1,2.0,80.71956240000145,81.20865200000117,81.20865200000117,81.20865200000117,81.50881919999665,left,-2.0,1,1,0.6047665999940364,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
9,1,2.0,81.85427789999812,82.34074519999558,82.34074519999558,82.34074519999558,82.64265349999187,right,2.0,1,1,0.605203300001449,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
10,1,2.0,82.98595560000103,83.47399060000316,83.47399060000316,83.47399060000316,83.77356459999282,right,2.0,1,1,0.5338015999877825,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
11,1,1.0,84.03522989999328,84.52432399999816,84.52432399999816,84.52432399999816,84.82342099999369,left,-1.0,1,1,0.6235779000126058,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
12,1,1.0,85.18543739999586,85.65675169999304,85.65675169999304,85.65675169999304,85.95742199999222,left,-1.0,1,1,0.5160436000005575,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
13,1,1.0,86.20187920000171,86.68980880000163,86.68980880000163,86.68980880000163,86.98964479999267,left,-1.0,1,1,0.6523040000029141,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
14,1,1.0,87.38465459999861,87.87263909999456,87.87263909999456,87.87263909999456,88.1729239999986,left,-1.0,1,1,0.5519550000026356,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
